Date,Title,Tags,Status,File
2025-10-27,Why GitHub is the DevSecOps Platform of Choice,"devsecops, github, devops",Published,2025-10-27-why-github-is-the-devsecops-platform-of-choice.md
2025-10-29,5 Tailwind CSS Tips for Better Productivity,"tailwind-css, eleventy, developer-productivity",Published,2025-10-29-tailwind-css-tips.md
2025-10-30,Getting Started with Eleventy,"eleventy, developer-productivity",Published,2025-10-30-getting-started-with-eleventy.md
2025-11-03,Security as Code with GitHub Actions: Automating DevSecOps,"github-actions, devsecops, ci-cd",Published,2025-11-03-security-as-code-making-it-real-with-github-actions.md
2025-11-10,Secrets Management on GitHub: Best Practices and Pitfalls,"security, github, devsecops",Published,2025-11-10-secrets-management-on-github-best-practices-and-pitfalls.md
2025-11-17,Shift Left Without Slowing Down: DevSecOps Pipeline Design,"devsecops, ci-cd, devops",Published,2025-11-17-shift-left-without-slowing-down.md
2025-11-24,CodeQL Deep Dive: Static Analysis for DevSecOps Engineers,"security, devsecops, github",Published,2025-11-24-codeql-deep-dive-static-analysis-for-devops-engineers.md
2025-12-01,"DevOps Culture: What It Is, Why It Exists, and Why It Matters",devops,Published,2025-12-01-devops-culture.md
2025-12-08,"DevSecOps Metrics That Matter: What to Measure, How to Track It in GitHub, and Why It Matters","devsecops, devops",Published,2025-12-08-devsecops-metrics-that-matter.md
2025-12-15,GitHub Advanced Security: What You Get and How to Use It,"security, devsecops, github",Published,2025-12-15-github-advanced-security.md
2026-03-13,GitHub Actions: Reusable Workflows vs. Composite Actions - Know the Difference,"github-actions, ci-cd, devops",Published,2026-03-13-github-actions-reusable-workflows-vs-composite-actions.md
2026-03-18,Deploying to GitHub Pages with GitHub Actions: Beyond the Defaults,"github-actions, eleventy, ci-cd",Published,2026-03-18-deploying-to-github-pages-beyond-the-defaults.md
2026-03-20,Trunk-Based Development in Practice: What They Don't Tell You,"devops, ci-cd, developer-productivity",Published,2026-03-20-trunk-based-development-in-practice.md
2026-03-25,The GitHub Actions `permissions` Block: Principle of Least Privilege for Workflows,"github-actions, security, devsecops",Published,2026-03-25-github-actions-permissions-block.md
2026-03-27,Dependabot Advanced: Getting Past the Noise,"supply-chain-security, github, devsecops",Published,2026-03-27-dependabot-advanced-getting-past-the-noise.md
2026-04-01,Tailwind CSS v4: What Actually Changed and How to Migrate,"tailwind-css, eleventy",Published,2026-04-01-tailwind-css-v4-migration.md
2026-04-03,Understanding CVSS Scores: A Practical Guide for Developers,"security, devsecops, supply-chain-security",Published,2026-04-03-understanding-cvss-scores.md
2026-04-10,Generating and Using SBOMs with GitHub Actions,"supply-chain-security, github-actions, devsecops",Published,2026-04-10-generating-and-using-sboms-with-github-actions.md
2026-04-17,GitHub CLI Power User: 10 `gh` Commands That Replace Browser Tabs,"github, developer-productivity, platform-engineering",Published,2026-04-17-github-cli-power-user.md
2026-04-24,Writing Commit Messages That Make Code Review Faster,"writing-for-engineers, developer-productivity, devops",Published,2026-04-24-writing-commit-messages-that-make-code-review-faster.md
2026-05-01,Architecture Decision Records: The 30-Minute Investment That Pays Off for Years,"writing-for-engineers, developer-productivity",Published,2026-05-01-architecture-decision-records.md
2026-05-08,GitHub Branch Protection Rules vs. Rulesets: The New Way to Enforce Standards,"github, devsecops, platform-engineering",Published,2026-05-08-github-branch-protection-rules-vs-rulesets.md
2026-05-15,Shift Right: Why Production Observability Is a Security Practice,"security, devsecops, platform-engineering",Published,2026-05-15-shift-right-observability-as-a-security-practice.md
2026-05-29,Enforcing Code Quality with GitHub Actions Status Checks You Can Actually Trust,"github-actions, ci-cd, platform-engineering",Published,2026-05-29-github-actions-status-checks-you-can-trust.md
2026-06-05,GitHub Copilot in CI: Automating Code Review at Scale,"github-copilot, github-actions, ai, code-review, developer-productivity",Published,2026-06-05-github-copilot-in-ci.md
2026-06-12,OpenID Connect in GitHub Actions: Replacing Long-Lived Secrets with Short-Lived Tokens,"github-actions, security, devsecops, oidc, ci-cd",Published,2026-06-12-oidc-in-github-actions.md
2026-06-19,Azure AI Foundry: A Developer's First Look at Agentic AI Workflows,"azure-ai-foundry, ai-agents, agentic-development, azure, llm",Published,2026-06-19-azure-ai-foundry-first-look-agentic-ai-workflows.md
2026-06-26,"GitHub Projects Automation: Custom Fields, Workflows, and the GraphQL API","github, developer-productivity, project-management, github-actions",Published,2026-06-26-github-projects-automation-custom-fields-workflows-graphql-api.md
2026-07-03,Semantic Kernel and Azure AI Foundry: Building Your First AI Agent in .NET,"azure-ai-foundry, semantic-kernel, ai-agents, dotnet, agentic-development",Published,2026-07-03-semantic-kernel-azure-ai-foundry-first-agent-dotnet.md
2026-07-10,GitHub Actions Advanced Caching: Strategies That Actually Cut Build Times,"github-actions, ci-cd, developer-productivity, performance",Published,2026-07-10-github-actions-advanced-caching-strategies.md
2026-07-17,Container Image Security in CI: Scanning with Trivy and GitHub Advanced Security,"container-security, github-advanced-security, devsecops, trivy, docker",Published,2026-07-17-container-image-security-trivy-github-advanced-security.md
2026-07-24,"Multi-Agent Patterns with Azure AI Foundry: Orchestration, Handoff, and Shared State","azure-ai-foundry, ai-agents, agentic-development, multi-agent, azure",Published,2026-07-24-multi-agent-patterns-azure-ai-foundry-orchestration-handoff-shared-state.md
2026-07-31,IaC Security Scanning in CI: Catching Terraform and Bicep Misconfigurations Before They Deploy,"infrastructure-as-code, security, devsecops, terraform, github-actions",Published,2026-07-31-iac-security-scanning-terraform-bicep-ci.md
2026-08-07,Prompt Engineering for Developers: Writing Reliable Instructions for Agentic Systems,"prompt-engineering, ai-agents, agentic-development, azure-ai-foundry, llm",Published,2026-08-07-prompt-engineering-for-developers.md
2026-08-14,"GitHub Environments Deep Dive: Deployment Protection Rules, Secrets, and Variables","github-actions, ci-cd, deployment, devsecops, environments",Published,2026-08-14-github-environments-deep-dive.md
2026-08-18,The Top 5 AI Coding Agents Compared: Which One Should You Choose?,"ai-agents, agentic-development, developer-productivity, ai-coding-tools, tooling",Published,2026-08-18-top-5-ai-coding-agents-compared.md
